rank CASE,rank GDP,country, Confirmed, imfGDP , unGDP , gdpPerCapita , pop 
98,98,Tunisia, -   ,"35,150,000,000.00","41,703,561,397.00","2,974.12","11,818.62"
99,99,Uganda, -   ,"33,620,000,000.00","25,307,842,467.00",735.01,"45,741.01"
100,100,Estonia, -   ,"33,235,000,000.00","23,337,920,560.00","25,053.99","1,326.54"
101,101,Nepal, -   ,"33,035,000,000.00","20,914,004,957.00","1,133.79","29,136.81"
102,102,Yemen, -   ,"31,385,000,000.00","25,374,086,438.00","1,052.27","29,825.96"
103,103,Cambodia, -   ,"29,309,000,000.00","20,016,747,858.00","1,753.04","16,718.97"
104,104,El Salvador, -   ,"28,202,000,000.00","26,797,469,656.00","4,348.00","6,486.21"
105,105,Senegal, -   ,"28,062,000,000.00","14,604,520,531.00","1,675.95","16,743.93"
106,106,Iceland, -   ,"26,821,000,000.00","20,269,659,972.00","78,597.95",341.24
107,107,Cyprus, -   ,"26,348,000,000.00","20,046,234,311.00","21,822.84","1,207.36"
108,108,Zimbabwe, -   ,"25,812,000,000.00","16,123,763,648.00","1,736.67","14,862.92"
109,109,Honduras, -   ,"25,560,000,000.00","21,516,915,353.00","2,580.62","9,904.61"
110,110,Zambia, -   ,"25,272,000,000.00","21,063,063,977.00","1,374.68","18,383.96"
111,111,Trinidad and Tobago, -   ,"23,235,000,000.00","24,086,176,564.00","16,602.50","1,399.49"
112,112,Papua New Guinea, -   ,"22,114,000,000.00","19,694,115,731.00","2,471.66","8,947.02"
113,113,Laos, -   ,"22,013,000,000.00","15,805,707,090.00","3,025.61","7,275.56"
114,114,Bosnia and Herzegovina, -   ,"21,343,000,000.00","16,909,904,149.00","6,505.39","3,280.82"
115,115,Botswana, -   ,"20,873,000,000.00","15,566,057,294.00","8,875.98","2,351.63"
116,116,Afghanistan, -   ,"20,682,000,000.00","20,235,063,330.00",531.28,"38,928.35"
117,117,Mali, -   ,"19,332,000,000.00","14,001,696,748.00",954.63,"20,250.83"
118,118,Georgia, -   ,"18,888,000,000.00","14,332,728,707.00","4,734.82","3,989.17"
119,119,Gabon, -   ,"17,893,000,000.00","13,863,183,526.00","8,039.15","2,225.73"
120,120,Albania, -   ,"17,210,000,000.00","11,863,866,791.00","5,980.27","2,877.80"
121,121,Jamaica, -   ,"16,717,000,000.00","14,056,901,075.00","5,645.41","2,961.17"
122,122,Malta, -   ,"16,338,000,000.00","10,998,577,038.00","37,002.06",441.54
123,123,Mozambique, -   ,"16,294,000,000.00","10,930,131,568.00",521.32,"31,255.44"
124,124,Burkina Faso, -   ,"16,266,000,000.00","11,695,117,109.00",778.16,"20,903.27"
125,125,Mauritius, -   ,"15,757,000,000.00","12,216,235,024.00","12,389.84","1,271.77"
126,126,Mongolia, -   ,"14,960,000,000.00","11,160,356,685.00","4,563.35","3,278.29"
127,127,Namibia, -   ,"14,627,000,000.00","10,947,277,246.00","5,756.61","2,540.91"
128,128,Brunei, -   ,"14,281,000,000.00","11,400,266,878.00","32,643.85",437.48
129,129,Armenia, -   ,"13,868,000,000.00","10,572,299,425.00","4,680.01","2,963.24"
130,130,Bahamas, -   ,"13,710,000,000.00","11,261,800,000.00","34,863.85",393.24
131,131,Macedonia, -   ,"13,700,000,000.00","10,745,782,586.00","6,575.87","2,083.37"
132,132,Guinea, -   ,"13,603,000,000.00","8,476,136,811.00","1,035.80","13,132.80"
133,133,Madagascar, -   ,"13,542,000,000.00","11,222,263,845.00",489.04,"27,691.02"
134,134,Moldova, -   ,"12,793,000,000.00","6,772,647,958.00","3,171.32","4,033.96"
135,135,Chad, -   ,"12,547,000,000.00","11,267,295,771.00",763.86,"16,425.86"
136,136,Nicaragua, -   ,"12,459,000,000.00","13,230,214,875.00","1,880.73","6,624.55"
137,137,Equatorial Guinea, -   ,"12,263,000,000.00","10,677,940,568.00","8,740.65","1,402.99"
138,138,Benin, -   ,"12,129,000,000.00","8,893,638,002.00","1,000.48","12,123.20"
139,139,Republic of the Congo, -   ,"11,367,000,000.00","7,778,081,883.00","2,059.95","5,518.09"
140,140,Rwanda, -   ,"11,062,000,000.00","8,473,784,827.00",854.06,"12,952.22"
141,141,Niger, -   ,"10,628,000,000.00","7,528,285,819.00",439.05,"24,206.64"
142,142,Haiti, -   ,"9,648,000,000.00","7,647,347,306.00",846.13,"11,402.53"
143,143,Kyrgyzstan, -   ,"8,781,000,000.00","6,551,291,140.00","1,345.91","6,524.20"
144,144,Somalia, -   ,"8,341,000,000.00","1,318,057,519.00",524.81,"15,893.22"
145,145,Eritrea, -   ,"8,116,000,000.00","5,413,804,303.00","2,288.50","3,546.42"
146,146,Malawi, -   ,"7,861,000,000.00","5,318,197,658.00",410.93,"19,129.95"
147,147,Tajikistan, -   ,"7,838,000,000.00","6,951,679,338.00",821.8,"9,537.65"
148,148,Maldives, -   ,"6,213,000,000.00","4,224,207,488.00","11,493.98",540.54
149,149,Togo, -   ,"6,132,000,000.00","4,449,262,345.00",740.69,"8,278.72"
150,150,Montenegro, -   ,"5,740,000,000.00","4,373,958,354.00","9,139.17",628.07
151,151,Mauritania, -   ,"5,697,000,000.00","4,667,119,320.00","1,225.25","4,649.66"
152,152,Fiji, -   ,"5,671,000,000.00","4,671,118,364.00","6,326.10",896.45
153,153,Barbados, -   ,"5,339,000,000.00","4,552,793,288.00","18,578.51",287.38
154,154,Swaziland, -   ,"4,812,000,000.00","4,007,002,048.00","4,147.69","1,160.16"
155,155,Guyana, -   ,"4,609,000,000.00","3,436,626,633.00","5,859.75",786.55
156,156,Sierra Leone, -   ,"4,221,000,000.00","3,674,756,785.00",529.15,"7,976.98"
